GameId,Games,Year,Season,City
1,2008 Summer,2008,Summer,Beijing
2,2012 Summer,2012,Summer,London
3,2012 Summer,2012,Summer,London
4,2012 Summer,2012,Summer,London
5,2016 Summer,2016,Summer,Rio de Janeiro
6,2016 Summer,2016,Summer,Rio de Janeiro
7,2012 Summer,2012,Summer,London
8,2012 Summer,2012,Summer,London
9,2004 Summer,2004,Summer,Athina
10,2000 Summer,2000,Summer,Sydney
11,2004 Summer,2004,Summer,Athina
12,2012 Summer,2012,Summer,London
13,2012 Summer,2012,Summer,London
14,2004 Summer,2004,Summer,Athina
15,2012 Summer,2012,Summer,London
16,2012 Summer,2012,Summer,London
17,2008 Summer,2008,Summer,Beijing
18,2000 Summer,2000,Summer,Sydney
19,2004 Summer,2004,Summer,Athina
20,2008 Summer,2008,Summer,Beijing
21,2000 Summer,2000,Summer,Sydney
22,2016 Summer,2016,Summer,Rio de Janeiro
23,2016 Summer,2016,Summer,Rio de Janeiro
24,2016 Summer,2016,Summer,Rio de Janeiro
25,2004 Summer,2004,Summer,Athina
26,2012 Summer,2012,Summer,London
27,2000 Summer,2000,Summer,Sydney
28,2004 Summer,2004,Summer,Athina
29,2004 Summer,2004,Summer,Athina
30,2012 Summer,2012,Summer,London
31,2016 Summer,2016,Summer,Rio de Janeiro
32,2000 Summer,2000,Summer,Sydney
33,2000 Summer,2000,Summer,Sydney
34,2004 Summer,2004,Summer,Athina
35,2000 Summer,2000,Summer,Sydney
36,2000 Summer,2000,Summer,Sydney
37,2016 Summer,2016,Summer,Rio de Janeiro
38,2016 Summer,2016,Summer,Rio de Janeiro
39,2008 Summer,2008,Summer,Beijing
40,2012 Summer,2012,Summer,London
41,2008 Summer,2008,Summer,Beijing
42,2012 Summer,2012,Summer,London
43,2000 Summer,2000,Summer,Sydney
44,2004 Summer,2004,Summer,Athina
45,2000 Summer,2000,Summer,Sydney
46,2004 Summer,2004,Summer,Athina
47,2000 Summer,2000,Summer,Sydney
48,2000 Summer,2000,Summer,Sydney
49,2016 Summer,2016,Summer,Rio de Janeiro
50,2008 Summer,2008,Summer,Beijing
