74,Ashley John Callus,M,21,188,85,Gold,Swimming Men's 4 x 100 metres Freestyle Relay,AUS,2000 Summer
75,Bronte Campbell,F,22,179,58,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,2016 Summer
76,Cate Natalie Campbell,F,20,186,67,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,2012 Summer
77,Cate Natalie Campbell,F,24,186,67,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,2016 Summer
78,Cao Yuan,M,21,160,42,Gold,Diving Men's Springboard,CHN,2016 Summer
79,Cecilia Carranza Saroli,F,29,164,63,Gold,Sailing Mixed Multihull,ARG,2016 Summer
94,Nathan Cohen,M,26,184,87,Gold,Rowing Men's Double Sculls,NZL,2012 Summer
95,"John ""Jack"" Conger",M,21,193,80,Gold,Swimming Men's 4 x 200 metres Freestyle Relay,USA,2016 Summer
96,"Edward ""Ed"" Coode",M,29,193,96,Gold,Rowing Men's Coxless Fours,GBR,2004 Summer
97,Iztok op,M,28,190,89,Gold,Rowing Men's Double Sculls,SLO,2000 Summer
98,"Katherine Sarah ""Kat"" Copeland",F,21,172,58,Gold,Rowing Women's Lightweight Double Sculls,GBR,2012 Summer
99,Kevin Cordes,M,22,196,88,Gold,Swimming Men's 4 x 100 metres Medley Relay,USA,2016 Summer
100,Natalie Anne Coughlin (-Hall),F,21,173,63,Gold,Swimming Women's 4 x 200 metres Freestyle Relay,USA,2004 Summer
101,Natalie Anne Coughlin (-Hall),F,21,173,63,Gold,Swimming Women's 100 metres Backstroke,USA,2004 Summer
102,Natalie Anne Coughlin (-Hall),F,25,173,63,Gold,Swimming Women's 100 metres Backstroke,USA,2008 Summer
103,Alicia Jayne Coutts,F,24,176,69,Gold,Swimming Women's 4 x 100 metres Freestyle Relay,AUS,2012 Summer
104,Kirsty Leigh Coventry (-Seward),F,20,176,64,Gold,Swimming Women's 200 metres Backstroke,ZIM,2004 Summer
105,Kirsty Leigh Coventry (-Seward),F,24,176,64,Gold,Swimming Women's 200 metres Backstroke,ZIM,2008 Summer
106,James Edward Cracknell,M,28,192,100,Gold,Rowing Men's Coxless Fours,GBR,2000 Summer
107,"Kameryn Louise ""Kami"" Craig",F,25,181,88,Gold,Water Polo Women's Water Polo,USA,2012 Summer
