Sport,Event
Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
Rowing,Rowing Men's Coxed Eights
Swimming,Swimming Men's 100 metres Freestyle
Swimming,Swimming Men's 4 x 100 metres Medley Relay
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Swimming,Swimming Men's 4 x 100 metres Medley Relay
Swimming,Swimming Men's 200 metres Freestyle
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Rowing,Rowing Men's Coxed Eights
Sailing,Sailing Mixed One Person Dinghy
Sailing,Sailing Men's One Person Dinghy
Sailing,Sailing Women's Windsurfer
Sailing,Sailing Women's Two Person Dinghy
Rowing,Rowing Men's Coxed Eights
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
Water Polo,Water Polo Women's Water Polo
Sailing,Sailing Men's Windsurfer
Rowing,Rowing Men's Coxed Eights
Sailing,Sailing Women's Three Person Keelboat
Sailing,Sailing Women's Three Person Keelboat
Synchronized Swimming,Synchronized Swimming Women's Team
Rowing,Rowing Men's Lightweight Double Sculls
Swimming,Swimming Men's 200 metres Breaststroke
Rowing,Rowing Women's Quadruple Sculls
Swimming,Swimming Women's 200 metres Breaststroke
Rowing,Rowing Women's Double Sculls
Swimming,Swimming Women's 4 x 100 metres Medley Relay
Rowing,Rowing Men's Coxed Eights
Sailing,Sailing Women's Two Person Dinghy
Sailing,Sailing Men's Two Person Dinghy
Swimming,Swimming Women's 200 metres Butterfly
Water Polo,Water Polo Men's Water Polo
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
Swimming,Swimming Women's 400 metres Freestyle
Swimming,Swimming Women's 800 metres Freestyle
Rowing,Rowing Men's Coxed Eights
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Swimming,Swimming Men's 100 metres Freestyle
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Rowing,Rowing Men's Lightweight Coxless Fours
Diving,Diving Men's Synchronized Springboard
Water Polo,Water Polo Men's Water Polo
Water Polo,Water Polo Men's Water Polo
Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
Sailing,Sailing Mixed Three Person Keelboat
Swimming,Swimming Women's 50 metres Freestyle
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
Rowing,Rowing Men's Coxless Pairs
Water Polo,Water Polo Men's Water Polo
Water Polo,Water Polo Women's Water Polo
Diving,Diving Men's Platform
Sailing,Sailing Women's One Person Dinghy
Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
Rowing,Rowing Men's Double Sculls
Rowing,Rowing Men's Lightweight Coxless Fours
Synchronized Swimming,Synchronized Swimming Women's Duet
Synchronized Swimming,Synchronized Swimming Women's Team
Synchronized Swimming,Synchronized Swimming Women's Team
Water Polo,Water Polo Men's Water Polo
Sailing,Sailing Men's Skiff
Sailing,Sailing Men's One Person Dinghy
Water Polo,Water Polo Men's Water Polo
Rowing,Rowing Men's Coxed Eights
Water Polo,Water Polo Women's Water Polo
Rowing,Rowing Women's Coxed Eights
Rowing,Rowing Women's Coxed Eights
Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
Diving,Diving Men's Springboard
Sailing,Sailing Mixed Multihull
Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
