weventID,Sport,Event
1,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
2,Rowing,Rowing Men's Coxed Eights
3,Swimming,Swimming Men's 100 metres Freestyle
4,Swimming,Swimming Men's 4 x 100 metres Medley Relay
5,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
6,Swimming,Swimming Men's 4 x 100 metres Medley Relay
7,Swimming,Swimming Men's 200 metres Freestyle
8,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
9,Rowing,Rowing Men's Coxed Eights
10,Sailing,Sailing Mixed One Person Dinghy
11,Sailing,Sailing Men's One Person Dinghy
12,Sailing,Sailing Women's Windsurfer
13,Sailing,Sailing Women's Two Person Dinghy
14,Rowing,Rowing Men's Coxed Eights
15,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
16,Water Polo,Water Polo Women's Water Polo
17,Sailing,Sailing Men's Windsurfer
18,Rowing,Rowing Men's Coxed Eights
19,Sailing,Sailing Women's Three Person Keelboat
20,Sailing,Sailing Women's Three Person Keelboat
21,Synchronized Swimming,Synchronized Swimming Women's Team
22,Rowing,Rowing Men's Lightweight Double Sculls
23,Swimming,Swimming Men's 200 metres Breaststroke
24,Rowing,Rowing Women's Quadruple Sculls
25,Swimming,Swimming Women's 200 metres Breaststroke
26,Rowing,Rowing Women's Double Sculls
27,Swimming,Swimming Women's 4 x 100 metres Medley Relay
28,Rowing,Rowing Men's Coxed Eights
29,Sailing,Sailing Women's Two Person Dinghy
30,Sailing,Sailing Men's Two Person Dinghy
31,Swimming,Swimming Women's 200 metres Butterfly
32,Water Polo,Water Polo Men's Water Polo
33,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
34,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
35,Swimming,Swimming Women's 400 metres Freestyle
36,Swimming,Swimming Women's 800 metres Freestyle
37,Rowing,Rowing Men's Coxed Eights
38,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
39,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
40,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
41,Swimming,Swimming Men's 100 metres Freestyle
42,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
43,Rowing,Rowing Men's Lightweight Coxless Fours
44,Diving,Diving Men's Synchronized Springboard
45,Water Polo,Water Polo Men's Water Polo
46,Water Polo,Water Polo Men's Water Polo
47,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
48,Sailing,Sailing Mixed Three Person Keelboat
49,Swimming,Swimming Women's 50 metres Freestyle
50,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
51,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
52,Rowing,Rowing Men's Coxless Pairs
53,Water Polo,Water Polo Men's Water Polo
54,Water Polo,Water Polo Women's Water Polo
55,Diving,Diving Men's Platform
56,Sailing,Sailing Women's One Person Dinghy
57,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
58,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
59,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
60,Rowing,Rowing Men's Double Sculls
61,Rowing,Rowing Men's Lightweight Coxless Fours
62,Synchronized Swimming,Synchronized Swimming Women's Duet
63,Synchronized Swimming,Synchronized Swimming Women's Team
64,Synchronized Swimming,Synchronized Swimming Women's Team
65,Water Polo,Water Polo Men's Water Polo
66,Sailing,Sailing Men's Skiff
67,Sailing,Sailing Men's One Person Dinghy
68,Water Polo,Water Polo Men's Water Polo
69,Rowing,Rowing Men's Coxed Eights
70,Water Polo,Water Polo Women's Water Polo
71,Rowing,Rowing Women's Coxed Eights
72,Rowing,Rowing Women's Coxed Eights
73,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
74,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
75,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
76,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
77,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
78,Diving,Diving Men's Springboard
79,Sailing,Sailing Mixed Multihull
80,Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
81,Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
82,Water Polo,Water Polo Women's Water Polo
83,Canoeing,"Canoeing Men's Canadian Singles, 200 metres"
84,Diving,Diving Men's Platform
85,Diving,Diving Men's Synchronized Platform
86,Diving,Diving Women's Synchronized Platform
87,Synchronized Swimming,Synchronized Swimming Women's Team
88,Rowing,Rowing Women's Coxed Eights
89,Swimming,Swimming Men's 50 metres Freestyle
90,Water Polo,Water Polo Women's Water Polo
91,Canoeing,"Canoeing Men's Kayak Singles, Slalom"
92,Swimming,Swimming Men's 200 metres Backstroke
93,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
94,Rowing,Rowing Men's Double Sculls
95,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
96,Rowing,Rowing Men's Coxless Fours
97,Rowing,Rowing Men's Double Sculls
98,Rowing,Rowing Women's Lightweight Double Sculls
99,Swimming,Swimming Men's 4 x 100 metres Medley Relay
100,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
101,Swimming,Swimming Women's 100 metres Backstroke
102,Swimming,Swimming Women's 100 metres Backstroke
103,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
104,Swimming,Swimming Women's 200 metres Backstroke
105,Swimming,Swimming Women's 200 metres Backstroke
106,Rowing,Rowing Men's Coxless Fours
107,Water Polo,Water Polo Women's Water Polo
108,Water Polo,Water Polo Women's Water Polo
109,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
110,Rowing,Rowing Men's Double Sculls
111,Swimming,Swimming Men's 4 x 100 metres Medley Relay
112,Swimming,Swimming Men's 4 x 100 metres Medley Relay
113,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
114,Water Polo,Water Polo Men's Water Polo
115,Rowing,Rowing Women's Coxless Pairs
116,Rowing,Rowing Women's Coxed Eights
117,Rowing,Rowing Women's Coxless Pairs
118,Rowing,Rowing Women's Coxed Eights
119,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
120,Rowing,Rowing Women's Coxed Eights
121,Synchronized Swimming,Synchronized Swimming Women's Duet
122,Synchronized Swimming,Synchronized Swimming Women's Team
123,Synchronized Swimming,Synchronized Swimming Women's Duet
124,Synchronized Swimming,Synchronized Swimming Women's Team
125,Synchronized Swimming,Synchronized Swimming Women's Team
126,Swimming,Swimming Women's 50 metres Freestyle
127,Swimming,Swimming Women's 100 metres Freestyle
128,Swimming,Swimming Women's 100 metres Butterfly
129,Rowing,Rowing Men's Coxed Eights
130,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
131,Rowing,Rowing Men's Coxed Eights
132,Water Polo,Water Polo Women's Water Polo
133,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
134,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
135,Swimming,Swimming Women's 200 metres Backstroke
136,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres"
137,Water Polo,Water Polo Men's Water Polo
138,Swimming,Swimming Men's 400 metres Individual Medley
139,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres"
140,Swimming,Swimming Women's 4 x 100 metres Medley Relay
141,Rowing,Rowing Men's Lightweight Coxless Fours
142,Canoeing,"Canoeing Women's Kayak Singles, 500 metres"
143,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
144,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres"
145,Rowing,Rowing Men's Coxed Eights
146,Rowing,Rowing Women's Quadruple Sculls
147,Water Polo,Water Polo Women's Water Polo
148,Rowing,Rowing Women's Coxed Eights
149,Rowing,Rowing Men's Coxed Eights
150,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
151,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
152,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres"
153,Sailing,Sailing Women's Three Person Keelboat
154,Rowing,Rowing Women's Coxed Eights
155,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
156,Canoeing,"Canoeing Men's Canadian Singles, Slalom"
157,Canoeing,"Canoeing Men's Canadian Singles, Slalom"
158,Rowing,Rowing Women's Quadruple Sculls
159,Rowing,Rowing Women's Quadruple Sculls
160,Rowing,Rowing Women's Double Sculls
161,Rowing,Rowing Women's Double Sculls
162,Rowing,Rowing Women's Double Sculls
163,Rowing,Rowing Women's Double Sculls
164,Water Polo,Water Polo Women's Water Polo
165,Rowing,Rowing Men's Quadruple Sculls
166,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
167,Canoeing,"Canoeing Women's Kayak Singles, Slalom"
168,Sailing,Sailing Mixed Skiff
169,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
170,Water Polo,Water Polo Men's Water Polo
171,Swimming,Swimming Men's 100 metres Breaststroke
172,Swimming,Swimming Men's 200 metres Breaststroke
173,Canoeing,"Canoeing Women's Kayak Fours, 500 metres"
174,Rowing,Rowing Women's Coxed Eights
175,Water Polo,Water Polo Men's Water Polo
176,Water Polo,Water Polo Men's Water Polo
177,Water Polo,Water Polo Women's Water Polo
178,Rowing,Rowing Women's Coxed Eights
179,Rowing,Rowing Women's Coxed Eights
180,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
181,Sailing,Sailing Men's Windsurfer
182,Swimming,Swimming Men's 100 metres Butterfly
183,Diving,Diving Women's Springboard
184,Rowing,Rowing Women's Double Sculls
185,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
186,Rowing,Rowing Women's Coxed Eights
187,Rowing,Rowing Women's Coxed Eights
188,Rowing,Rowing Men's Quadruple Sculls
189,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay
190,Swimming,Swimming Women's 4 x 100 metres Medley Relay
